gene_name	cath_superfamily	pdb_id	chromosome	gene_id	genome_accessions
GTF2E2	1.10.10.10;	1D8J;1D8K;5GPY;5IY6;5IY7;5IY8;5IY9;5IYA;5IYB;5IYC;5IYD;6O9L;7EG9;7EGA;7EGB;7EGC;7ENA;7ENC;7LBM;7NVR;7NVS;7NVT;7NVU;7NVY;7NVZ;7NW0;8BVW;8BYQ;8GXQ;8GXS;8WAK;8WAL;8WAN;8WAO;8WAP;8WAQ;8WAR;8WAS;	8	2961	{'-': '5005:84923', 'Reference GRCh38.p14 Primary Assembly': '30578317:30658235', 'Alternate T2T-CHM13v2.0': '30857763:30937702'}
PCSK1	6.10.250.3320;2.60.120.260;3.30.70.850;3.40.50.200;		5	5122	{'-': '5033:47948', 'Reference GRCh38.p14 Primary Assembly': '96390332:96433247', 'Alternate T2T-CHM13v2.0': '96891317:96934220'}
PCSK6	2.60.120.260;3.30.70.850;3.40.50.200;		15	5046	{'-': '40495:226269', 'Reference GRCh38.p14 Primary Assembly': '101303932:101489706', 'Alternate T2T-CHM13v2.0': '99058997:99244969'}
TPP2	1.25.40.710;2.60.40.3170;6.10.250.3080;3.40.50.200;		13	7174	{'-': '5000:87972', 'Reference GRCh38.p14 Primary Assembly': '102596985:102679957', 'Alternate T2T-CHM13v2.0': '101812991:101895916'}
IMPA1	3.40.190.80;3.30.540.10;	1AWB;1IMA;1IMB;1IMC;1IMD;1IME;1IMF;2HHM;4AS4;6GIU;6GJ0;6ZK0;7VCE;	8	3612	{'-': '5029:34440', 'Reference GRCh38.p14 Primary Assembly': '81656913:81686324', 'Alternate T2T-CHM13v2.0': '82088504:82118040'}
ADORA2A	1.20.1070.10;	2YDO;2YDV;3EML;3PWH;3QAK;3REY;3RFM;3UZA;3UZC;3VG9;3VGA;4EIY;4UG2;4UHR;5G53;5IU4;5IU7;5IU8;5IUA;5IUB;5JTB;5K2A;5K2B;5K2C;5K2D;5MZJ;5MZP;5N2R;5NLX;5NM2;5NM4;5OLG;5OLH;5OLO;5OLV;5OLZ;5OM1;5OM4;5UIG;5UVI;5VRA;5WF5;5WF6;6AQF;6GDG;6GT3;6JZH;6LPJ;6LPK;6LPL;6MH8;6PS7;6S0L;6S0Q;6WQA;6ZDR;6ZDV;7ARO;7EZC;7PX4;7PYR;7RM5;7T32;8A2O;8A2P;8C9W;8CIC;8CU6;8CU7;8DU3;8GNE;8GNG;8JWY;8JWZ;8PWN;	22	135	{'-': '9002:23760', 'Reference GRCh38.p14 Primary Assembly': '24423596:24442356', 'Alternate T2T-CHM13v2.0': '24885209:24903990'}
ADORA2B	1.20.1070.10;	7XY6;7XY7;8HDO;8HDP;	17	136	{'Reference GRCh38.p14 Primary Assembly': '15850361:15975745', 'Alternate T2T-CHM13v2.0': '15756781:15877923'}
CCN2	2.20.100.10;		6	1490	{'-': '4999:8195', 'Reference GRCh38.p14 Primary Assembly': '131948175:131951371', 'Alternate T2T-CHM13v2.0': '133143211:133146409'}
EPHA2	2.60.40.1770;2.60.120.260;2.60.40.10;1.20.5.510;1.10.150.50;1.10.510.10;2.10.50.10;	1MQB;2E8N;2K9Y;2KSO;2X10;2X11;3C8X;3CZU;3FL7;3HEI;3HPN;3KKA;3MBW;3MX0;3SKJ;4P2K;4PDO;4TRL;5EK7;5I9U;5I9V;5I9W;5I9X;5I9Y;5I9Z;5IA0;5IA1;5IA2;5IA3;5IA4;5IA5;5NJZ;5NK0;5NK1;5NK2;5NK3;5NK4;5NK5;5NK6;5NK7;5NK8;5NK9;5NKA;5NKB;5NKC;5NKD;5NKE;5NKF;5NKG;5NKH;5NKI;5NZ9;6B9L;6F7M;6F7N;6FNF;6FNG;6FNH;6HES;6HET;6HEU;6HEV;6HEW;6HEX;6HEY;6NJZ;6NK0;6NK1;6NK2;6NKP;6Q7B;6Q7C;6Q7D;6Q7E;6Q7F;6Q7G;6RW2;7B7N;7CZE;7CZF;7KJA;7KJB;7KJC;8BIN;8BIO;8BK0;8BOC;8BOD;8BOF;8BOG;8BOH;8BOI;8BOK;8BOM;8QQY;8TRS;8TRT;	1	1969	{'-': '5018:36750', 'Reference GRCh38.p14 Primary Assembly': '16124336:16156068', 'Alternate T2T-CHM13v2.0': '15565744:15597464'}
EPHA3	2.60.40.1770;2.60.120.260;2.60.40.10;1.10.150.50;1.10.510.10;2.10.50.10;	2GSF;2QO2;2QO7;2QO9;2QOB;2QOC;2QOD;2QOF;2QOI;2QOK;2QOL;2QON;2QOO;2QOQ;3DZQ;3FXX;3FY2;4G2F;4GK2;4GK3;4GK4;4L0P;4P4C;4P5Q;4P5Z;4TWN;4TWO;6IN0;	3	2042	{'-': '5097:379610', 'Reference GRCh38.p14 Primary Assembly': '89107620:89482133', 'Alternate T2T-CHM13v2.0': '89183659:89558506'}
EPHA8	2.60.40.1770;2.60.120.260;2.60.40.10;1.10.150.50;1.10.510.10;2.10.50.10;	1UCV;1X5L;3KUL;	1	2046	{'Reference GRCh38.p14 Primary Assembly': '22563488:22603594', 'Alternate T2T-CHM13v2.0': '22387195:22428606'}
EPHB2	2.60.40.1770;2.60.120.260;2.60.40.10;1.10.150.50;1.10.510.10;2.10.50.10;	1B4F;1F0M;2QBX;3ZFM;8EBL;	1	2048	{'-': '5000:215662', 'Reference GRCh38.p14 Primary Assembly': '22710837:22921499', 'Alternate T2T-CHM13v2.0': '22535721:22747005'}
PTPN6	3.90.190.10;3.30.505.10;	1FPR;1GWZ;1X6C;2B3O;2RMX;2YU7;3PS5;4GRY;4GRZ;4GS0;4HJP;4HJQ;6SM5;	12	5777	{'Reference GRCh38.p14 Primary Assembly': '6946576:6961315', 'Alternate T2T-CHM13v2.0': '6957742:6974789'}
SHC1	2.30.29.30;3.30.505.10;	1MIL;1N3H;1OY2;1QG1;1SHC;1TCE;2L1C;4JMH;4XWX;5CZI;6DM4;	1	6464	{'-': '8736:17185', 'Reference GRCh38.p14 Primary Assembly': '154962297:154974375', 'Alternate T2T-CHM13v2.0': '154101658:154113736'}
TACR3	1.20.1070.10;		4	6870	{'-': '5000:135348', 'Reference GRCh38.p14 Primary Assembly': '103586030:103719984', 'Alternate T2T-CHM13v2.0': '106897953:107031921'}
MPG	3.10.300.10;	1BNK;1EWN;1F4R;1F6O;3QI5;3UBY;7XFH;7XFJ;7XFM;	16	4350	{'Reference GRCh38.p14 Primary Assembly': '77006:85845', 'Alternate T2T-CHM13v2.0': '70551:79446'}
CRABP2	2.40.128.20;	1BLR;1BM5;1CBQ;1CBS;1XCA;2CBS;2FR3;2FRS;2FS6;2FS7;2G78;2G79;2G7B;3CBS;3CR6;3CWK;3D95;3D96;3D97;3F8A;3F9D;3FA6;3FA7;3FA8;3FA9;3FEK;3FEL;3FEN;3FEP;3I17;4I9R;4I9S;4M6S;4M7M;4QGV;4QGW;4QGX;4YBP;4YBU;4YCE;4YCH;4YDA;4YDB;4YFP;4YFQ;4YFR;4YGG;4YGH;4YGZ;4YH0;4YKM;4YKO;5HZQ;5OGB;6HKR;6MOP;6MOQ;6MOR;6MOV;6MOW;6MOX;6MPK;6MQI;6MQJ;6MQW;6MQX;6MQY;6MQZ;6MR0;6NNX;6NNY;6NOE;6Z2U;6Z2Z;6ZSW;6ZSX;7AA0;7AA1;7OXW;7OXX;7RY5;	1	1382	{'Reference GRCh38.p14 Primary Assembly': '156699605:156705783', 'Alternate T2T-CHM13v2.0': '155836008:155842184'}
ARID4A	2.30.30.140;1.10.150.60;	2LCC;2MAM;2YRV;6BPH;6L87;7SMC;7V8N;	14	5926	{'-': '5170:80491', 'Reference GRCh38.p14 Primary Assembly': '58298554:58373875', 'Alternate T2T-CHM13v2.0': '52505551:52580896'}
KDM5A	1.10.150.60;2.60.120.650;3.30.40.10;	2JXJ;2KGG;2KGI;3GL6;5C11;5CEH;5E6H;5ISL;5IVB;5IVC;5IVE;5IVF;5IVJ;5IVV;5IVY;5IW0;5IWF;5K4L;5V9P;5V9T;6BGU;6BGV;6BGW;6BGX;6BGY;6BGZ;6BH0;6BH1;6BH2;6BH3;6BH4;6BH5;6DQ4;6DQ5;6DQ6;6DQ7;6DQ8;6DQ9;6DQA;6DQB;6DQC;6DQD;6DQE;6DQF;7KLO;7KLR;	12	5927	{'-': '5135:114398', 'Reference GRCh38.p14 Primary Assembly': '280056:389319', 'Alternate T2T-CHM13v2.0': '276884:386173'}
LTK	1.10.510.10;	7NX0;7NX1;	15	4058	{'Reference GRCh38.p14 Primary Assembly': '41503636:41513826', 'Alternate T2T-CHM13v2.0': '39309798:39319983'}
COL4A5	2.170.240.10;	5NAZ;6WKU;	X	1287	{'-': '4914:262621', 'Reference GRCh38.p14 Primary Assembly': '108439837:108697544', 'Alternate T2T-CHM13v2.0': '106877379:107135127'}
TKT	3.40.50.920;3.40.50.970;	3MOS;3OOY;4KXU;4KXV;4KXW;4KXX;4KXY;6HA3;6HAD;6RJB;	3	7086	{'-': '5092:36402', 'Reference GRCh38.p14 Primary Assembly': '53224711:53256021', 'Alternate T2T-CHM13v2.0': '53257621:53288997'}
IL12A	1.20.1250.10;	1F45;3HMX;	3	3592	{'-': '5001:12185', 'Reference GRCh38.p14 Primary Assembly': '159988834:159996018', 'Alternate T2T-CHM13v2.0': '162763549:162770733'}
IL12B	2.60.40.10;	1F42;1F45;3D85;3D87;3DUH;3HMX;3QWR;4GRW;5MJ3;5MJ4;5MXA;5MZV;5NJD;6UIB;6WDQ;	5	3593	{'-': '5000:20690', 'Reference GRCh38.p14 Primary Assembly': '159314779:159330486', 'Alternate T2T-CHM13v2.0': '159843274:159858982'}
CASP1	3.40.50.1460;1.10.533.10;	1BMQ;1IBC;1ICE;1RWK;1RWM;1RWN;1RWO;1RWP;1RWV;1RWW;1RWX;1SC1;1SC3;1SC4;2FQQ;2H48;2H4W;2H4Y;2H51;2H54;2HBQ;2HBR;2HBY;2HBZ;3D6F;3D6H;3D6M;3E4C;3NS7;5FNA;5MMV;5MTK;6BZ9;6F6R;6KN0;6PZP;6VIE;7KEU;8WRA;	11	834	{'-': '4986:14622', 'Reference GRCh38.p14 Primary Assembly': '105025442:105036685', 'Alternate T2T-CHM13v2.0': '105029521:105040776'}
NOS3	3.40.50.360;3.90.440.10;3.40.50.80;2.40.30.10;	1M9J;1M9K;1M9M;1M9Q;1M9R;1NIW;2LL7;2MG5;2N8J;3EAH;3NOS;4D1O;4D1P;5UO8;5UO9;5UOA;5UOB;5UOC;5VVB;5VVC;5VVD;5XOF;6AV6;6AV7;6CIE;6CIF;6NH1;6NH2;6NH3;6NH4;6NH5;6NH6;6NH7;6NH8;6NHF;6POU;6POV;6POW;6POX;6POY;6POZ;6PP0;6PP1;6PP2;6PP3;6PP4;7M56;7TSG;7TSH;7TSI;7TSK;7TSL;7TSM;7TSN;7TSO;7TSP;7UAO;8FGN;8FGO;8FGP;8FGQ;8FGR;8FGS;8FGT;8FGU;	7	4846	{'-': '4958:28529', 'Reference GRCh38.p14 Primary Assembly': '150991016:151014587', 'Alternate T2T-CHM13v2.0': '152163823:152187710'}
NOS1	2.30.42.10;3.40.50.360;3.90.440.10;3.40.50.80;2.40.30.10;	4D1N;4UCH;4UH5;4UH6;4V3U;5ADF;5ADG;5ADI;5FVU;5FVV;5FVW;5FVX;5UO1;5UO2;5UO3;5UO4;5UO5;5UO6;5UO7;5VUV;5VUW;5VUX;5VUY;5VUZ;5VV0;5VV1;5VV2;5VV3;5VV4;5VV5;6AUY;6AUZ;6AV0;6AV1;6AV2;6AV3;6AV4;6AV5;6CIC;6CID;6NG1;6NG2;6NG4;6NG5;6NG6;6NG7;6NG8;6NGA;6NGB;6NGC;6NGD;6NGE;6NGF;6NGH;6NGI;6NHB;6NHC;6PNA;6PNB;6PNC;6PND;6PNE;6PNF;6PNG;6PNH;6PO5;6PO7;6PO8;6PO9;6POA;6POB;6POC;6POT;7TS1;7TS2;7TS3;7TS4;7TS5;7TS6;7TS7;7TS8;7UAM;7US7;7US8;8BI8;8BI9;8FGF;8FGG;8FGH;8FGI;8FGJ;8FGK;8FGL;8FGM;	12	4842	{'-': '5151:158635', 'Reference GRCh38.p14 Primary Assembly': '117208141:117361625', 'Alternate T2T-CHM13v2.0': '117189185:117342678'}
SERPINB3	2.30.39.10;3.30.497.10;	2ZV6;4ZK0;4ZK3;	18	6317	{'Reference GRCh38.p14 Primary Assembly': '63655196:63661892', 'Alternate T2T-CHM13v2.0': '63860278:63866974'}
LMOD1	3.80.10.10;	4Z79;4Z8G;4Z94;	1	25802	{'Reference GRCh38.p14 Primary Assembly': '201896455:201946547', 'Alternate T2T-CHM13v2.0': '201154210:201204216'}
RBMS1	3.30.70.330;	1X5O;6M75;7C36;	2	5937	{'Reference GRCh38.p14 Primary Assembly': '160272150:160493806', 'Alternate T2T-CHM13v2.0': '160729617:160951340'}
PML	3.30.160.60;3.30.40.10;	1BOR;2MVW;2MWX;4WJN;4WJO;5YUF;6IMQ;6UYO;6UYP;6UYQ;6UYR;6UYS;6UYT;6UYU;6UYV;8DJH;8DJI;8J25;8J2P;	15	5371	{'-': '5043:58154', 'Reference GRCh38.p14 Primary Assembly': '73994715:74047826', 'Alternate T2T-CHM13v2.0': '71812060:71865193'}
TYK2	1.10.510.10;	3LXN;3LXP;3NYX;3NZ0;3ZON;4GFO;4GIH;4GII;4GJ2;4GJ3;4GVJ;4OLI;4PO6;4PY1;4WOV;5C01;5C03;5F1Z;5F20;5TKD;5WAL;6AAM;6DBK;6DBM;6NSL;6NZE;6NZF;6NZH;6NZP;6NZQ;6NZR;6OVA;6VNS;6VNV;6VNX;6VNY;6X8F;6X8G;7AX4;7K7O;7K7Q;7UYR;7UYS;7UYT;7UYU;8EXN;8EYC;8S98;8S99;8S9A;8TB5;8TB6;	19	7297	{'-': '5000:35044', 'Reference GRCh38.p14 Primary Assembly': '10350532:10380571', 'Alternate T2T-CHM13v2.0': '10476656:10506987'}
SERPINA4	2.30.39.10;3.30.497.10;	6F02;	14	5267	{'Reference GRCh38.p14 Primary Assembly': '94561441:94569905', 'Alternate T2T-CHM13v2.0': '88791395:88799856', '-': '5000:13464'}
EEF1D	3.30.70.60;	2MVM;2MVN;2N51;5JPO;	8	1936	{'Reference GRCh38.p14 Primary Assembly': '143579727:143597414', 'Alternate T2T-CHM13v2.0': '144729123:144746826', 'Reference GRCh38.p14 ALT_REF_LOCI_1': '69767:87454'}
OAS2	1.10.1410.20;3.30.460.10;		12	4939	{'-': '5050:38254', 'Reference GRCh38.p14 Primary Assembly': '112978518:113011722', 'Alternate T2T-CHM13v2.0': '112955142:112988346'}
PDHA2	3.40.50.970;		4	5161	{'Reference GRCh38.p14 Primary Assembly': '95840092:95841463', 'Alternate T2T-CHM13v2.0': '99155292:99156663'}
CD40LG	2.60.120.40;	1ALY;1I9R;3LKJ;3QD6;6BRB;6W9G;7SGM;	X	959	{'-': '5000:17213', 'Reference GRCh38.p14 Primary Assembly': '136648157:136660389', 'Alternate T2T-CHM13v2.0': '134956899:134969115'}
AQP1	1.20.1080.10;	1FQY;1H6I;1IH5;4CSK;6POJ;7UZE;8CT2;8CTE;	7	358	{'-': '63300:77123', 'Reference GRCh38.p14 Primary Assembly': '30911852:30925515', 'Alternate T2T-CHM13v2.0': '31049500:31063162'}
CNGA1	1.10.287.70;1.20.5.170;1.10.287.630;2.60.120.10;	7LFT;7LFW;7LFX;7LFY;7LG1;7RH9;7RHG;7RHH;7RHI;7RHJ;7RHK;7RHL;	4	1259	{'-': '1263:81967', 'Reference GRCh38.p14 Primary Assembly': '47935976:48016680', 'Alternate T2T-CHM13v2.0': '47903220:47983753'}
GNA11	1.10.400.10;3.40.50.300;	6OIJ;7RKF;7TRY;	19	2767	{'-': '4952:34589', 'Reference GRCh38.p14 Primary Assembly': '3094361:3123998', 'Alternate T2T-CHM13v2.0': '3068113:3097734'}
ERP29	1.20.1150.12;3.40.30.10;	2QC7;5V8Z;5V90;	12	10961	{'Reference GRCh38.p14 Primary Assembly': '112013425:112023448', 'Alternate T2T-CHM13v2.0': '111990330:112000353'}
PRDX6	3.40.30.10;	1PRX;5B6M;5B6N;	1	9588	{'Reference GRCh38.p14 Primary Assembly': '173477334:173488814', 'Alternate T2T-CHM13v2.0': '172835490:172846971'}
BLVRB	3.40.50.720;	1HDO;1HE2;1HE3;1HE4;1HE5;5OOG;5OOH;6OPL;7ER6;7ER7;7ER8;7ER9;7ERA;7ERB;7ERC;7ERD;7ERE;8ELL;8ELM;	19	645	{'Reference GRCh38.p14 Primary Assembly': '40447767:40465744', 'Alternate T2T-CHM13v2.0': '43268425:43286396'}
PRDX5	3.40.30.10;	1H4O;1HD2;1OC3;1URM;2VL2;2VL3;2VL9;3MNG;4K7I;4K7N;4K7O;4MMM;	11	25824	{'Reference GRCh38.p14 Primary Assembly': '64318120:64321810', 'Alternate T2T-CHM13v2.0': '64308101:64311791'}
DDT	3.30.429.10;	1DPT;3KAN;4Q3F;6C5F;7MRU;7MRV;7MSE;7MW7;8DBB;	22	1652	{'Reference GRCh38.p14 Primary Assembly': '23971369:23980503', 'Alternate T2T-CHM13v2.0': '24378786:24387910', 'Reference GRCh38.p14 ALT_REF_LOCI_1': '207733:216869'}
GCHFR	3.30.1410.10;	6Z80;6Z85;7ACC;7AL9;7ALA;7ALB;7ALC;7ALQ;	15	2644	{'Reference GRCh38.p14 Primary Assembly': '40764067:40767707', 'Alternate T2T-CHM13v2.0': '38570089:38573729'}
PRDX3	3.40.30.10;	5JCG;5UCX;	10	10935	{'Reference GRCh38.p14 Primary Assembly': '119167719:119178811', 'Alternate T2T-CHM13v2.0': '120063135:120074227'}
ATP5F1D	1.20.5.440;2.60.15.10;	8H9F;8H9J;8H9M;8H9Q;8H9S;8H9T;8H9U;8H9V;	19	513	{'Reference GRCh38.p14 Primary Assembly': '1241750:1244824', 'Alternate T2T-CHM13v2.0': '1210309:1213383'}
RPL12	1.10.10.250;3.30.1550.10;	4V6X;5A8L;5AJ0;6OLG;6ZM7;6ZME;6ZMI;6ZMO;7VB2;8FKR;8FKS;8FKT;8FKU;8FKV;8FKW;8FKX;8FKY;8FKZ;8FL0;8FL2;8FL3;8FL4;8FL6;8FL7;8FL9;8FLA;8FLB;8FLC;8G5Z;8G60;8G6J;8IDT;8IDY;8INE;8INF;8INK;8IPD;8IPX;8IPY;8IR1;8IR3;	9	6136	{'Reference GRCh38.p14 Primary Assembly': '127447673:127451405', 'Alternate T2T-CHM13v2.0': '139654622:139658355', '-': '1188:4920'}
ECHS1	1.10.12.10;	2HW5;	10	1892	{'-': '5050:15919', 'Reference GRCh38.p14 Primary Assembly': '133362484:133373353', 'Alternate T2T-CHM13v2.0': '134317600:134328372'}
CMPK1	3.40.50.300;	1TEV;7E9V;	1	51727	{'Reference GRCh38.p14 Primary Assembly': '47333789:47378838', 'Alternate T2T-CHM13v2.0': '47212231:47257302'}
PEBP1	3.90.280.10;	1BD9;1BEH;2L7W;2QYQ;	12	5037	{'Reference GRCh38.p14 Primary Assembly': '118136123:118145583', 'Alternate T2T-CHM13v2.0': '118123374:118132823'}
PDIA3	3.40.30.10;	2ALB;2DMM;2H8L;3F8U;6ENY;7QNG;7QPD;	15	2923	{'Reference GRCh38.p14 Primary Assembly': '43746437:43773277', 'Alternate T2T-CHM13v2.0': '41553794:41580637'}
PPP2R1A	1.25.10.10;	1B3U;2IE3;2IE4;2NPP;2NYL;2NYM;2PKG;3C5W;3DW8;3K7V;3K7W;4I5L;4I5N;4LAC;5W0W;6IUR;6NTS;7CUN;7K36;7PKS;7SOY;7YCX;8SO0;8TTB;8TWE;8TWI;	19	5518	{'-': '5001:44467', 'Reference GRCh38.p14 Primary Assembly': '52190051:52229517', 'Alternate T2T-CHM13v2.0': '55277245:55316712'}
PPP2R1B	1.25.10.10;		11	5519	{'-': '4999:33511', 'Reference GRCh38.p14 Primary Assembly': '111687999:111766388', 'Alternate T2T-CHM13v2.0': '111698151:111776538'}
CD6	3.10.250.10;	5A2E;	11	923	{'Reference GRCh38.p14 Primary Assembly': '60971679:61020376', 'Alternate T2T-CHM13v2.0': '60922810:60971571'}
CDC27	1.25.40.10;	3T1N;4RG6;4RG7;4RG9;4UI9;5A31;5G04;5G05;5KHR;5KHU;5L9T;5L9U;5LCW;6Q6G;6Q6H;6TLJ;6TM5;6TNT;7QE7;8PKP;8TAR;8TAU;	17	996	{'Reference GRCh38.p14 Primary Assembly': '47117702:47189294', 'Alternate T2T-CHM13v2.0': '47979196:48051639'}
CCND2	1.10.472.10;	6EI2;	12	894	{'-': '5001:36592', 'Reference GRCh38.p14 Primary Assembly': '4273761:4305352', 'Alternate T2T-CHM13v2.0': '4280520:4312134'}
CCND3	1.10.472.10;	3G33;7SJ3;	6	896	{'-': '5000:118961', 'Reference GRCh38.p14 Primary Assembly': '41934932:42050034', 'Alternate T2T-CHM13v2.0': '41763492:41878293'}
WEE1	1.10.510.10;	1X8B;2IN6;2IO6;2Z2W;3BI6;3BIZ;3CQE;3CR0;5V5Y;5VC3;5VC4;5VC5;5VC6;5VD2;5VD4;5VD5;5VD7;5VD8;5VD9;5VDA;7N3U;8BJU;	11	7465	{'Reference GRCh38.p14 Primary Assembly': '9573669:9589984', 'Alternate T2T-CHM13v2.0': '9657889:9674135'}
MIP	1.20.1080.10;		12	4284	{'-': '19509:24664', 'Reference GRCh38.p14 Primary Assembly': '56449501:56456552', 'Alternate T2T-CHM13v2.0': '56417212:56424264'}
CDC25A	3.40.250.10;	1C25;	3	993	{'Reference GRCh38.p14 Primary Assembly': '48157145:48188416', 'Alternate T2T-CHM13v2.0': '48184305:48215829'}
CDC25B	3.40.250.10;	1CWR;1CWS;1CWT;1QB0;1YM9;1YMD;1YMK;1YML;1YS0;2A2K;2IFD;2IFV;2UZQ;3FQT;3FQU;4WH7;4WH9;	20	994	{'-': '14538:24343', 'Reference GRCh38.p14 Primary Assembly': '3786950:3806114', 'Alternate T2T-CHM13v2.0': '3817890:3837036'}
CDC25C	3.40.250.10;	2OJX;3BZI;3OP3;5M35;5M36;5M37;	5	995	{'Reference GRCh38.p14 Primary Assembly': '138285264:138338354', 'Alternate T2T-CHM13v2.0': '138811483:138864571'}
PPIF	2.40.100.10;	2BIT;2BIU;2Z6W;3QYU;3R49;3R4G;3R54;3R56;3R57;3R59;3RCF;3RCG;3RCI;3RCK;3RCL;3RD9;3RDA;3RDB;3RDC;4J58;4J59;4J5A;4J5B;4J5C;4J5D;4J5E;4O8H;4O8I;4XNC;4ZSC;4ZSD;5A0E;5CBT;5CBU;5CBV;5CBW;5CCN;5CCQ;5CCR;5CCS;6R8L;6R8O;6R8W;6R9S;6R9U;6R9X;6RA1;6Y3E;6YBM;7OGI;7PMT;7R2H;7R2I;7R2J;7R2L;7TGS;7TGT;7TGU;7TGV;7TH1;7TH6;7TH7;7THC;7THD;7THF;7ZDN;8EJX;	10	10105	{'Reference GRCh38.p14 Primary Assembly': '79347468:79355333', 'Alternate T2T-CHM13v2.0': '80216812:80224677'}
BDKRB2	1.20.1070.10;	7F2O;7F6H;7F6I;	14	624	{'Reference GRCh38.p14 Primary Assembly': '96204838:96244163', 'Alternate T2T-CHM13v2.0': '90436087:90475412'}
NKTR	2.40.100.10;	2HE9;	3	4820	{'Reference GRCh38.p14 Primary Assembly': '42600611:42648734', 'Alternate T2T-CHM13v2.0': '42618605:42666733'}
NMT1	3.40.630.170;	1RXT;3IU1;3IU2;3IWE;3JTK;4C2Y;4C2Z;5MU6;5NPQ;5O6H;5O6J;5O9S;5O9T;5O9U;5O9V;5UUT;6EHJ;6F56;6FZ2;6FZ3;6FZ5;6PAV;6QRM;6SJZ;6SK2;6SK3;6SK8;6SKJ;7OWM;7OWN;7OWO;7OWP;7OWQ;7OWR;7OWU;7RK3;	17	4836	{'Reference GRCh38.p14 Primary Assembly': '45061316:45109015', 'Alternate T2T-CHM13v2.0': '45915188:45962891'}
HLA-F	2.60.40.10;3.30.500.10;	5IUE;5KNM;	6	3134	{'-': '5001:8863', 'Reference GRCh38.p14 Primary Assembly': '29723433:29738531', 'Alternate T2T-CHM13v2.0': '29594784:29612449', 'Reference GRCh38.p14 ALT_REF_LOCI_2': '1206570:1225170', 'Reference GRCh38.p14 ALT_REF_LOCI_3': '985768:1004397', 'Reference GRCh38.p14 ALT_REF_LOCI_4': '985515:1003988', 'Reference GRCh38.p14 ALT_REF_LOCI_5': '986159:988295', 'Reference GRCh38.p14 ALT_REF_LOCI_6': '985784:1004367', 'Reference GRCh38.p14 ALT_REF_LOCI_7': '1029692:1047564'}
AVPR2	1.20.1070.10;	4JQI;6NI2;6U1N;7BB6;7BB7;7DF9;7DFA;7DFB;7DFC;7DW9;7KH0;7R0C;7R0J;8GOC;8I10;8JRU;8JRV;	X	554	{'-': '4699:7192', 'Reference GRCh38.p14 Primary Assembly': '153902624:153907165', 'Alternate T2T-CHM13v2.0': '152176299:152180877'}
HMOX2	1.20.910.10;	2Q32;2QPP;2RGZ;4WMH;5UC8;5UC9;5UCA;	16	3163	{'Reference GRCh38.p14 Primary Assembly': '4474735:4510346', 'Alternate T2T-CHM13v2.0': '4504256:4539821', 'Reference GRCh38.p14 ALT_REF_LOCI_1': '177058:212669'}
ADSS2	3.40.440.10;1.10.300.10;3.90.170.10;	2V40;	1	159	{'Reference GRCh38.p14 Primary Assembly': '244408493:244452059', 'Alternate T2T-CHM13v2.0': '243824814:243868542'}
AXL	2.60.40.10;1.10.510.10;	2C5D;4RA0;5U6B;5VXZ;	19	558	{'Reference GRCh38.p14 Primary Assembly': '41219222:41261765', 'Alternate T2T-CHM13v2.0': '44040106:44082624'}
CHRNA5	2.70.170.10;1.20.58.390;		15	1138	{'-': '5000:34749', 'Reference GRCh38.p14 Primary Assembly': '78565519:78595268', 'Alternate T2T-CHM13v2.0': '76428192:76457937'}
LRPAP1	1.20.81.10;	1LRE;1NRE;1OP1;1OV2;2FCW;2FTU;2FYL;2P01;2P03;	4	4043	{'-': '5075:33885', 'Reference GRCh38.p14 Primary Assembly': '3503611:3532421', 'Alternate T2T-CHM13v2.0': '3503364:3532076'}
TSPO	1.20.1260.100;		22	706	{'Reference GRCh38.p14 Primary Assembly': '43151558:43163241', 'Alternate T2T-CHM13v2.0': '43632714:43644076'}
ADORA1	1.20.1070.10;	5N2S;5UEN;6D9H;7LD3;7LD4;	1	134	{'-': '5021:44700', 'Reference GRCh38.p14 Primary Assembly': '203127725:203167404', 'Alternate T2T-CHM13v2.0': '202390477:202430155'}
GRPR	1.20.1070.10;	7W3Z;7W40;7W41;8H0Q;	X	2925	{'-': '5264:35217', 'Reference GRCh38.p14 Primary Assembly': '16123564:16153517', 'Alternate T2T-CHM13v2.0': '15706467:15736419'}
AGTR1	1.20.1070.10;	4YAY;4ZUD;6DO1;6OS0;6OS1;6OS2;	3	185	{'-': '5001:50101', 'Reference GRCh38.p14 Primary Assembly': '148697902:148743002', 'Alternate T2T-CHM13v2.0': '151448935:151494032'}
OXTR	1.20.1070.10;	6TPK;7QVM;7RYC;	3	5021	{'Reference GRCh38.p14 Primary Assembly': '8741268:8769612', 'Alternate T2T-CHM13v2.0': '8741550:8760788', '-': '21571:40803'}
ADSL	1.10.275.60;1.10.40.30;1.20.200.10;	2J91;2VD6;4FFX;4FLC;	22	158	{'-': '5000:27867', 'Reference GRCh38.p14 Primary Assembly': '40346499:40387526', 'Alternate T2T-CHM13v2.0': '40817909:40858923'}
